Local SKU Code,Myntra SKU ID,SKU ID
BP9004_Coord_Brown-3XL,BNWMCOORD95185918,95185918
BP9008_Coord_Aqua-6XL,BNWMCOORD95562388,95562388
BP9008_Coord_Pink-3XL,BNWMCOORD95562324,95562324
BP9008_Coord_Pink-4XL,BNWMCOORD95562330,95562330
BP9008_Coord_Pink-5XL,BNWMCOORD95562336,95562336
BP9008_Coord_Pink-6XL,BNWMCOORD95562342,95562342
BP9009AQUA_SKD-3XL,BNWMKASS95979671,95979671
BP9009AQUA_SKD-4XL,BNWMKASS95979673,95979673
BP9009AQUA_SKD-5XL,BNWMKASS95979675,95979675
BP9009AQUA_SKD-6XL,BNWMKASS95979676,95979676
BP9009PINK_SKD-3XL,BNWMKASS95979670,95979670
BP9009PINK_SKD-4XL,BNWMKASS95979672,95979672
BP9010AQUA_SKD-3XL,BNWMKASS95556088,95556088
BP9010PINK_SKD-3XL,BNWMKASS95556086,95556086
BP9011_Dress_Black_3XL,BNWMETHDR95185998,95185998
BP9011_Dress_Black_4XL,BNWMETHDR95186006,95186006
BP9011_Dress_Black_5XL,BNWMETHDR95186008,95186008
BP9011_Dress_Black_6XL,BNWMETHDR95186010,95186010
BP9011_Dress_Teal_3XL,BNWMETHDR95185996,95185996
BP9011_Dress_Teal_4XL,BNWMETHDR95186000,95186000
BP9011_Dress_Teal_5XL,BNWMETHDR95186002,95186002
BP9011_Dress_Teal_6XL,BNWMETHDR95186004,95186004
BP9012_Coord_Aqua-3XL,BNWMCOORD95562328,95562328
BP9012_Coord_Aqua-4XL,BNWMCOORD95562334,95562334
BP9012_Coord_Aqua-5XL,BNWMCOORD95562340,95562340
BP9012_Coord_Aqua-6XL,BNWMCOORD95562346,95562346
BP9012_Coord_Peach-4XL,BNWMCOORD95562376,95562376
BP9012_Coord_Peach-5XL,BNWMCOORD95562378,95562378
BP9012_Coord_Peach-6XL,BNWMCOORD95562380,95562380
BP9013_Coord_Lime-3XL,BNWMCOORD95562348,95562348
BP9013_Coord_Lime-4XL,BNWMCOORD95562350,95562350
BP9013_Coord_Lime-5XL,BNWMCOORD95562352,95562352
BP9013_Coord_Lime-6XL,BNWMCOORD95562354,95562354
BP9013_Coord_Mauve-3XL,BNWMCOORD95562326,95562326
BP9013_Coord_Mauve-4XL,BNWMCOORD95562332,95562332
BP9013_Coord_Mauve-5XL,BNWMCOORD95562338,95562338
BP9013_Coord_Mauve-6XL,BNWMCOORD95562344,95562344
BP9014_Coord_Green-4XL,BNWMCOORD95562368,95562368
BP9014_Coord_Peach-3XL,BNWMCOORD95562356,95562356
BP9014_Coord_Peach-4XL,BNWMCOORD95562358,95562358
BP9014_Coord_Peach-5XL,BNWMCOORD95562360,95562360
BP9014_Coord_Peach-6XL,BNWMCOORD95562362,95562362
BP9015_Dress_Blue-4XL,BNWMDRSS95572504,95572504
BP9015_Dress_Blue-6XL,BNWMDRSS95572508,95572508
BP9015_Dress_Mauve-6XL,BNWMDRSS95572500,95572500
BP9034_LGR_COD-3XL,BNWMCOORD98690777,98690777
BP9034_LGR_COD-4XL,BNWMCOORD98690778,98690778
BP9034_LGR_COD-5XL,BNWMCOORD98690779,98690779
BP9034_LGR_COD-6XL,BNWMCOORD98690780,98690780
BP9034_RED_COD-3XL,BNWMCOORD98690817,98690817
BP9034_RED_COD-4XL,BNWMCOORD98690818,98690818
BP9034_RED_COD-5XL,BNWMCOORD98690819,98690819
BP9036_BLU_COD-3XL,BNWMCOORD98892026,98892026
BP9036_BLU_COD-4XL,BNWMCOORD98892027,98892027
BP9036_BLU_COD-5XL,BNWMCOORD98892028,98892028
BP9036_PNK_COD-3XL,BNWMCOORD98322178,98322178
BP9036_PNK_COD-4XL,BNWMCOORD98322180,98322180
BP9036_PNK_COD-5XL,BNWMCOORD98322182,98322182
BP9036_PNK_COD-6XL,BNWMCOORD98322184,98322184
BP9043_RED_SKD-3XL,BNWMKASS98565645,98565645
BP9043_RED_SKD-4XL,BNWMKASS98565646,98565646
BP9043_RED_SKD-5XL,BNWMKASS98565647,98565647
BP9043_RED_SKD-6XL,BNWMKASS98565648,98565648
BP9043_YLO_SKD-3XL,BNWMKASS98565704,98565704
BP9043_YLO_SKD-4XL,BNWMKASS98565705,98565705
BP9044_BLK_SKD-3XL,BNWMKASS98565619,98565619
BP9044_BLK_SKD-4XL,BNWMKASS98565622,98565622
BP9044_BLK_SKD-5XL,BNWMKASS98565624,98565624
BP9044_BLK_SKD-6XL,BNWMKASS98565626,98565626
BP9044_FCS_SKD-3XL,BNWMKASS98565718,98565718
BP9044_FCS_SKD-4XL,BNWMKASS98565719,98565719
BP9044_FCS_SKD-5XL,BNWMKASS98565720,98565720
BP9044_FCS_SKD-6XL,BNWMKASS98565721,98565721
BP9046_BLK_COD-6XL,BNWMCOORD98322133,98322133
BP9050_FCS_COD-3XL,BNWMCOORD98322114,98322114
BP9050_FCS_COD-4XL,BNWMCOORD98322115,98322115
BP9050_PPL_COD-3XL,BNWMCOORD98322110,98322110
BP9050_PPL_COD-4XL,BNWMCOORD98322111,98322111
BP9050_PPL_COD-5XL,BNWMCOORD98322112,98322112
BP9050_PPL_COD-6XL,BNWMCOORD98322113,98322113
BP9061_PNK_SKD-3XL,BNWMKASS98565556,98565556
BP9061_TEL_SKD-3XL,BNWMKASS98565515,98565515
BP9062_FCS_SKD-3XL,BNWMKASS98565536,98565536
BP9062_FCS_SKD-4XL,BNWMKASS98565537,98565537
BP9062_FCS_SKD-5XL,BNWMKASS98565538,98565538
BP9062_FCS_SKD-6XL,BNWMKASS98565539,98565539
BP9062_PPL_SKD-3XL,BNWMKASS98565495,98565495
BP9062_PPL_SKD-4XL,BNWMKASS98565496,98565496
BP9062_PPL_SKD-5XL,BNWMKASS98565497,98565497
BP9062_PPL_SKD-6XL,BNWMKASS98565498,98565498
BP9063_BRN_SKD-3XL,BNWMKASS98565450,98565450
BP9063_BRN_SKD-4XL,BNWMKASS98565454,98565454
BP9063_BRN_SKD-5XL,BNWMKASS98565457,98565457
BP9063_BRN_SKD-6XL,BNWMKASS98565458,98565458
BP9063_PPL_SKD-3XL,BNWMKASS98565598,98565598
BP9063_PPL_SKD-4XL,BNWMKASS98565599,98565599
BP9063_PPL_SKD-5XL,BNWMKASS98565600,98565600
BP9063_PPL_SKD-6XL,BNWMKASS98565601,98565601
BP9065_BRN_COD-3XL,BNWMCOORD98892036,98892036
BP9065_BRN_COD-4XL,BNWMCOORD98892037,98892037
BP9065_BRN_COD-5XL,BNWMCOORD98892038,98892038
BP9065_BRN_COD-6XL,BNWMCOORD98892039,98892039
BPR8049BRN_SKD-3XL,BNWMKASS111466562,111466562
BPR8049BRN_SKD-4XL,BNWMKASS111466563,111466563
BPR8049BRN_SKD-5XL,BNWMKASS111466564,111466564
BPR8049BRN_SKD-6XL,BNWMKASS111466565,111466565
BW10K10_Green_COD-L,BNWMCOORD109391317,109391317
BW10K10_Green_COD-M,BNWMCOORD109391316,109391316
BW10K10_Green_COD-S,BNWMCOORD109391315,109391315
BW10K10_Green_COD-XL,BNWMCOORD109391318,109391318
BW10K10_Green_COD-XS,BNWMCOORD109391314,109391314
BW10K10_Green_COD-XXL,BNWMCOORD109391319,109391319
BW10K11_Multi_COD-L,BNWMCOORD109005902,109005902
BW10K11_Multi_COD-M,BNWMCOORD109005900,109005900
BW10K11_Multi_COD-S,BNWMCOORD109005899,109005899
BW10K11_Multi_COD-XL,BNWMCOORD109005904,109005904
BW10K11_Multi_COD-XS,BNWMCOORD109005897,109005897
BW10K11_Multi_COD-XXL,BNWMCOORD109005906,109005906
BW10K12_Green_COD-L,BNWMCOORD109005912,109005912
BW10K12_Green_COD-M,BNWMCOORD109005911,109005911
BW10K12_Green_COD-S,BNWMCOORD109005910,109005910
BW10K12_Green_COD-XL,BNWMCOORD109005913,109005913
BW10K12_Green_COD-XS,BNWMCOORD109005909,109005909
BW10K12_Green_COD-XXL,BNWMCOORD109005914,109005914
BW10K12_Pink_COD-L,BNWMCOORD109005975,109005975
BW10K12_Pink_COD-M,BNWMCOORD109005974,109005974
BW10K12_Pink_COD-XL,BNWMCOORD109005976,109005976
BW10K12_Pink_COD-XS,BNWMCOORD109005972,109005972
BW10K12_Pink_COD-XXL,BNWMCOORD109005977,109005977
BW10K14_Blue_COD-L,BNWMCOORD109005969,109005969
BW10K14_Blue_COD-M,BNWMCOORD109005968,109005968
BW10K14_Blue_COD-S,BNWMCOORD109005967,109005967
BW10K14_Blue_COD-XL,BNWMCOORD109005970,109005970
BW10K14_Blue_COD-XS,BNWMCOORD109005965,109005965
BW10K14_Blue_COD-XXL,BNWMCOORD109005971,109005971
BW10K14_PPL_COD-L,BNWMCOORD109005944,109005944
BW10K14_PPL_COD-M,BNWMCOORD109005943,109005943
BW10K14_PPL_COD-XL,BNWMCOORD109005945,109005945
BW10K14_PPL_COD-XS,BNWMCOORD109005941,109005941
BW10K14_PPL_COD-XXL,BNWMCOORD109005947,109005947
BW10K15_Olive_DRS-L,BNWMDRSS109391323,109391323
BW10K15_Olive_DRS-M,BNWMDRSS109391322,109391322
BW10K15_Olive_DRS-S,BNWMDRSS109391321,109391321
BW10K15_Olive_DRS-XL,BNWMDRSS109391324,109391324
BW10K15_Olive_DRS-XXL,BNWMDRSS109391325,109391325
BW10K16_Green_COD-M,BNWMCOORD109005949,109005949
BW10K16_Green_COD-S,BNWMCOORD109005948,109005948
BW10K16_Green_COD-XL,BNWMCOORD109005951,109005951
BW10K16_Green_COD-XS,BNWMCOORD109005946,109005946
BW10K16_Green_COD-XXL,BNWMCOORD109005952,109005952
BW10K16_Pink_COD-M,BNWMCOORD109005918,109005918
BW10K16_Pink_COD-S,BNWMCOORD109005917,109005917
BW10K16_Pink_COD-XL,BNWMCOORD109005920,109005920
BW10K16_Pink_COD-XS,BNWMCOORD109005916,109005916
BW10K17_Brown_DRS-L,BNWMDRSS109391306,109391306
BW10K17_Brown_DRS-M,BNWMDRSS109391305,109391305
BW10K17_Brown_DRS-S,BNWMDRSS109391304,109391304
BW10K17_Brown_DRS-XL,BNWMDRSS109391307,109391307
BW10K17_Brown_DRS-XS,BNWMDRSS109391303,109391303
BW10K17_Brown_DRS-XXL,BNWMDRSS109391309,109391309
BW10K17_Green_DRS-L,BNWMDRSS109391251,109391251
BW10K17_Green_DRS-M,BNWMDRSS109391250,109391250
BW10K17_Green_DRS-S,BNWMDRSS109391249,109391249
BW10K17_Green_DRS-XL,BNWMDRSS109391252,109391252
BW10K17_Green_DRS-XS,BNWMDRSS109391248,109391248
BW10K17_Green_DRS-XXL,BNWMDRSS109391253,109391253
BW10K18_LGreen_COD-L,BNWMCOORD109005905,109005905
BW10K18_LGreen_COD-M,BNWMCOORD109005903,109005903
BW10K18_LGreen_COD-S,BNWMCOORD109005901,109005901
BW10K18_LGreen_COD-XL,BNWMCOORD109005907,109005907
BW10K18_LGreen_COD-XS,BNWMCOORD109005898,109005898
BW10K18_LGreen_COD-XXL,BNWMCOORD109005908,109005908
BW10K18_PPL_COD-L,BNWMCOORD109005926,109005926
BW10K18_PPL_COD-M,BNWMCOORD109005925,109005925
BW10K18_PPL_COD-S,BNWMCOORD109005924,109005924
BW10K18_PPL_COD-XL,BNWMCOORD109005928,109005928
BW10K18_PPL_COD-XXL,BNWMCOORD109005929,109005929
BW10K20_Blue_COD-L,BNWMCOORD109005938,109005938
BW10K20_Blue_COD-M,BNWMCOORD109005937,109005937
BW10K20_Blue_COD-S,BNWMCOORD109005936,109005936
BW10K20_Blue_COD-XL,BNWMCOORD109005939,109005939
BW10K20_Blue_COD-XXL,BNWMCOORD109005940,109005940
BW10K20_Olive_COD-S,BNWMCOORD109005930,109005930
BW10K20_Olive_COD-XS,BNWMCOORD109005927,109005927
BW10K24_Beige_DRS-S,BNWMDRSS109391308,109391308
BW10K24_Green_DRS-S,BNWMDRSS109391285,109391285
BW10K26_Green_COD-L,BNWMCOORD111698898,111698898
BW10K26_Green_COD-M,BNWMCOORD111698897,111698897
BW10K26_Green_COD-S,BNWMCOORD111698896,111698896
BW10K26_Green_COD-XL,BNWMCOORD111698899,111698899
BW10K26_Green_COD-XXL,BNWMCOORD111698900,111698900
BW10K26_Navy_COD-L,BNWMCOORD111698938,111698938
BW10K26_Navy_COD-S,BNWMCOORD111698936,111698936
BW10K26_Navy_COD-XL,BNWMCOORD111698939,111698939
BW10K26_Navy_COD-XXL,BNWMCOORD111698940,111698940
BW10K28_Brown_WTC-L,BNWMWACO109391242,109391242
BW10K28_Brown_WTC-M,BNWMWACO109391240,109391240
BW10K28_Brown_WTC-S,BNWMWACO109391238,109391238
