Local_SKU,Myntra_SKU,SKU_ID,Category,Nykaa_SKU
BP8043GRN_SKD-3XL,BNWMKASS81386830,81386830,Kurta Sets,BANIW00004521
BP8043GRN_SKD-4XL,BNWMKASS81386842,81386842,Kurta Sets,BANIW00004522
BP8044Beige_COD-3XL,BNWMCOORD81356974,81356974,Co-Ords,BANIW00004407
BP8046Blue_COD-3XL,BNWMCOORD81357022,81357022,Co-Ords,BANIW00004415
BP8046Blue_COD-6XL,BNWMCOORD81357034,81357034,Co-Ords,BANIW00004418
BP8048GREY_COD-3XL,BNWMCOORD83984474,83984474,Co-Ords,BANIW00005368
BP8048GREY_COD-4XL,BNWMCOORD83984478,83984478,Co-Ords,BANIW00005369
BP8048GREY_COD-5XL,BNWMCOORD83984480,83984480,Co-Ords,BANIW00005370
BP8048GREY_COD-6XL,BNWMCOORD83984482,83984482,Co-Ords,BANIW00005371
BP8048PINK_COD-3XL,BNWMCOORD81357124,81357124,Co-Ords,BANIW00004423
BP8048PINK_COD-4XL,BNWMCOORD81357126,81357126,Co-Ords,BANIW00004424
BP8048PINK_COD-5XL,BNWMCOORD81357128,81357128,Co-Ords,BANIW00004425
BP8048PINK_COD-6XL,BNWMCOORD81357130,81357130,Co-Ords,BANIW00004426
BP8049GRN_SKD-3XL,BNWMKASS81386826,81386826,Kurta Sets,BANIW00004533
BP8049GRN_SKD-5XL,BNWMKASS81386844,81386844,Kurta Sets,BANIW00004535
BP8049GRN_SKD-6XL,BNWMKASS81386856,81386856,Kurta Sets,BANIW00004536
BP8050PPL_SKD-3XL,BNWMKASS81386890,81386890,Kurta Sets,BANIW00004537
BP8050PPL_SKD-4XL,BNWMKASS81386898,81386898,Kurta Sets,BANIW00004538
BP8050Red_SKD-4XL,BNWMKASS81386972,81386972,Kurta Sets,BANIW00004542
BP8051MRN_COD-3XL,BNWMCOORD81357048,81357048,Co-Ords,BANIW00004427
BP8051MRN_COD-4XL,BNWMCOORD81357050,81357050,Co-Ords,BANIW00004428
BP8051MRN_COD-5XL,BNWMCOORD81357052,81357052,Co-Ords,BANIW00004429
BP8051MRN_COD-6XL,BNWMCOORD81357054,81357054,Co-Ords,BANIW00004430
BP8052COORD_GREEN-3XL,BNWMCOORD98322249,98322249,Co-Ords,BANIW00005596
BP8052Red_COD-3XL,BNWMCOORD81357056,81357056,Co-Ords,BANIW00004431
BP8052Red_COD-4XL,BNWMCOORD81357058,81357058,Co-Ords,BANIW00004432
BP8052Red_COD-5XL,BNWMCOORD81357060,81357060,Co-Ords,BANIW00004433
BP8052Red_COD-6XL,BNWMCOORD81357062,81357062,Co-Ords,BANIW00004434
